date,time,sender,message,datetime,sentiment_score,sentiment_label
12/08/24,9:14 pm,Aiman,bhai kal free ho?,2024-08-12 21:14:00,0.5106,Positive
12/08/24,9:16 pm,Ali,"haan free hun, kya scene hai",2024-08-12 21:16:00,0.5106,Positive
12/08/24,9:17 pm,Aiman,"project ka kaam karna hai, milte hain",2024-08-12 21:17:00,0.0,Neutral
12/08/24,9:20 pm,Ali,"theek hai bro, 5 baje?",2024-08-12 21:20:00,0.0,Neutral
12/08/24,9:21 pm,Aiman,perfect 👍,2024-08-12 21:21:00,0.5719,Positive
12/08/24,10:05 pm,Sara,guys assignment submit ho gaya?,2024-08-12 22:05:00,0.0,Neutral
12/08/24,10:06 pm,Ali,haan submit kar diya 😅,2024-08-12 22:06:00,0.3612,Positive
13/08/24,8:00 am,Aiman,good morning everyone,2024-08-13 08:00:00,0.4404,Positive
13/08/24,8:02 am,Sara,good morning! chalo lecture start,2024-08-13 08:02:00,0.4926,Positive
13/08/24,8:45 am,Ali,yr lecture boring hai aj,2024-08-13 08:45:00,-0.3182,Negative
13/08/24,8:46 am,Sara,😂😂 sach mein,2024-08-13 08:46:00,0.7003,Positive
13/08/24,9:30 am,Aiman,quiz tha kya aj?,2024-08-13 09:30:00,0.0,Neutral
13/08/24,9:31 am,Sara,nahi kal hai quiz,2024-08-13 09:31:00,0.0,Neutral
14/08/24,6:00 pm,Ali,guys movie plan karte hain weekend pe,2024-08-14 18:00:00,0.0,Neutral
14/08/24,6:01 pm,Aiman,"haan bilkul, konsi movie?",2024-08-14 18:01:00,0.0,Neutral
14/08/24,6:03 pm,Sara,"kuch bhi chalega, i'm excited 🎬",2024-08-14 18:03:00,0.34,Positive
